confidence_interval,option_price,standard_error,m,S0,K,H,q,confidence_level,n_paths,r,sigma,T
17.235177971356887,32.381474382753666,8.793619733477641,50,100,100,85,0,0.95,100,0.1,0.4,4.800000000000001
5.159375480058484,10.218653618289395,2.632382799252935,50,100,100,85,0,0.95,100,0.1,0.4,4.9
2.8522040560770114,8.959846513296958,1.4552328913055717,50,100,100,85,0,0.95,100,0.1,0.45,0.2
2.870825722808483,7.747093569298937,1.4647339162623345,50,100,100,85,0,0.95,100,0.1,0.45,0.30000000000000004
4.236272270767095,14.430447229261786,2.161403119742133,50,100,100,85,0,0.95,100,0.1,0.45,0.4
3.9670785468312224,11.79034224750504,2.0240568592703907,50,100,100,85,0,0.95,100,0.1,0.45,0.5
3.999456241067607,11.29597966630651,2.040576394573986,50,100,100,85,0,0.95,100,0.1,0.45,0.6000000000000001
4.85529493625797,13.025269049377176,2.4772368138169463,50,100,100,85,0,0.95,100,0.1,0.45,0.7
5.408685655039149,14.215647624330591,2.759584205476311,50,100,100,85,0,0.95,100,0.1,0.45,0.8
5.894990997846506,14.051695291293541,3.0077037355509812,50,100,100,85,0,0.95,100,0.1,0.45,0.9000000000000001
7.325397287134631,19.641170430341408,3.737516273215442,50,100,100,85,0,0.95,100,0.1,0.45,1
7.314032041076776,18.05604024957272,3.7317175717354645,50,100,100,85,0,0.95,100,0.1,0.45,1.1
9.28851918075546,20.835725863068454,4.739127480924198,50,100,100,85,0,0.95,100,0.1,0.45,1.2
