S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,2.2,118,0.6,250,0.02481903686168392,0.0049,0.03,-7.2727
110,100,0.1,50,2.6,118,0.2,250,0.15576863858444928,0.0761,0.1643,-7.2727
110,100,0.1,50,2.6,118,0.3,250,0.0758260476051705,0.0278,0.0832,-7.2727
110,100,0.1,50,2.6,118,0.4,250,0.04450246829134454,0.0124,0.0502,-7.2727
110,100,0.1,50,2.6,118,0.5,250,0.02921573568793156,0.0064,0.0343,-7.2727
110,100,0.1,50,2.6,118,0.6,250,0.020553549447322985,0.0037,0.0253,-7.2727
110,100,0.1,50,3.0,118,0.2,250,0.12442479849974289,0.0575,0.1314,-7.2727
110,100,0.1,50,3.0,118,0.3,250,0.06258912040877436,0.0215,0.0691,-7.2727
110,100,0.1,50,3.0,118,0.4,250,0.03692522692046955,0.0097,0.0426,-7.2727
110,100,0.1,50,3.0,118,0.5,250,0.024919225590783266,0.005,0.0294,-7.2727
110,100,0.1,50,3.0,118,0.6,250,0.017265230955776364,0.0028,0.0219,-7.2727
110,100,0.1,50,3.4,118,0.2,250,0.10035130025610202,0.0446,0.1072,-7.2727
110,100,0.1,50,3.4,118,0.3,250,0.052595130661045375,0.017,0.0586,-7.2727
110,100,0.1,50,3.4,118,0.4,250,0.031853743526920116,0.0077,0.0368,-7.2727
110,100,0.1,50,3.4,118,0.5,250,0.021062581255239767,0.004,0.0257,-7.2727
110,100,0.1,50,3.4,118,0.6,250,0.015152260583073516,0.0022,0.0192,-7.2727
110,100,0.1,50,3.8,118,0.2,250,0.08272746975268137,0.0353,0.0889,-7.2727
110,100,0.1,50,3.8,118,0.3,250,0.04482825080043316,0.0138,0.0504,-7.2727
110,100,0.1,50,3.8,118,0.4,250,0.027780462614135165,0.0063,0.0322,-7.2727
110,100,0.1,50,3.8,118,0.5,250,0.01841070865760375,0.0032,0.0227,-7.2727
110,100,0.1,50,3.8,118,0.6,250,0.013276155322215712,0.0018,0.0171,-7.2727
110,100,0.1,50,4.2,118,0.2,250,0.06926393357552338,0.0284,0.0747,-7.2727
110,100,0.1,50,4.2,118,0.3,250,0.03899805394751255,0.0114,0.0439,-7.2727
110,100,0.1,50,4.2,118,0.4,250,0.024191690543646636,0.0052,0.0285,-7.2727
110,100,0.1,50,4.2,118,0.5,250,0.016334897683476818,0.0027,0.0203,-7.2727
110,100,0.1,50,4.2,118,0.6,250,0.011646565560019913,0.0015,0.0154,-7.2727
110,100,0.1,50,4.6,118,0.2,250,0.05823961550425784,0.0231,0.0635,-7.2727
110,100,0.1,50,4.6,118,0.3,250,0.0338483569944548,0.0095,0.0387,-7.2727
110,100,0.1,50,4.6,118,0.4,250,0.02135510359382784,0.0043,0.0255,-7.2727
110,100,0.1,50,4.6,118,0.5,250,0.014581222447660799,0.0022,0.0183,-7.2727
110,100,0.1,50,4.6,118,0.6,250,0.010288702062418328,0.0013,0.0139,-7.2727
110,100,0.1,50,5.0,118,0.2,250,0.04942653648137664,0.019,0.0543,-7.2727
110,100,0.1,50,5.0,118,0.3,250,0.02963752925578079,0.008,0.0343,-7.2727
110,100,0.1,50,5.0,118,0.4,250,0.01890105487494858,0.0037,0.023,-7.2727
110,100,0.1,50,5.0,118,0.5,250,0.012949645643585845,0.0019,0.0166,-7.2727
110,100,0.1,50,5.0,118,0.6,250,0.00922356689595027,0.0011,0.0127,-7.2727
110,100,0.1,50,0.2,119,0.2,250,4.206709602781135,3.6704,4.2342,-8.1818
110,100,0.1,50,0.2,119,0.3,250,2.0348507996559593,1.5935,2.056,-8.1818
110,100,0.1,50,0.2,119,0.4,250,1.114907906324947,0.7881,1.134,-8.1818
110,100,0.1,50,0.2,119,0.5,250,0.6821997343081649,0.4362,0.6966,-8.1818
110,100,0.1,50,0.2,119,0.6,250,0.45192344499593556,0.2634,0.4648,-8.1818
110,100,0.1,50,0.6,119,0.2,250,1.4017376352447002,1.0356,1.4245,-8.1818
110,100,0.1,50,0.6,119,0.3,250,0.5953567292263562,0.3723,0.6113,-8.1818
110,100,0.1,50,0.6,119,0.4,250,0.31492840505808073,0.1684,0.3267,-8.1818
110,100,0.1,50,0.6,119,0.5,250,0.19089265635827043,0.0887,0.2017,-8.1818
110,100,0.1,50,0.6,119,0.6,250,0.12730950992387907,0.0519,0.1373,-8.1818
110,100,0.1,50,1.0,119,0.2,250,0.7508435520474906,0.4986,0.7686,-8.1818
110,100,0.1,50,1.0,119,0.3,250,0.32044401289688457,0.174,0.3328,-8.1818
110,100,0.1,50,1.0,119,0.4,250,0.17087718342715083,0.0775,0.1814,-8.1818
110,100,0.1,50,1.0,119,0.5,250,0.10538982212501105,0.0404,0.1145,-8.1818
110,100,0.1,50,1.0,119,0.6,250,0.07204527975386253,0.0234,0.0796,-8.1818
110,100,0.1,50,1.4,119,0.2,250,0.4799898099753051,0.2939,0.4949,-8.1818
110,100,0.1,50,1.4,119,0.3,250,0.2109052345890216,0.1026,0.2207,-8.1818
110,100,0.1,50,1.4,119,0.4,250,0.11387904732940989,0.0455,0.1232,-8.1818
110,100,0.1,50,1.4,119,0.5,250,0.07164496468773125,0.0236,0.0793,-8.1818
110,100,0.1,50,1.4,119,0.6,250,0.049532017585411314,0.0136,0.0561,-8.1818
110,100,0.1,50,1.8,119,0.2,250,0.3371285597012671,0.1928,0.3496,-8.1818
110,100,0.1,50,1.8,119,0.3,250,0.1521941402107265,0.068,0.1615,-8.1818
110,100,0.1,50,1.8,119,0.4,250,0.08405636875242975,0.0302,0.0922,-8.1818
110,100,0.1,50,1.8,119,0.5,250,0.05332410842038972,0.0156,0.0604,-8.1818
110,100,0.1,50,1.8,119,0.6,250,0.037041374328344506,0.009,0.0433,-8.1818
110,100,0.1,50,2.2,119,0.2,250,0.25111018634019017,0.1351,0.2614,-8.1818
110,100,0.1,50,2.2,119,0.3,250,0.11610753937707029,0.0484,0.1252,-8.1818
110,100,0.1,50,2.2,119,0.4,250,0.06606135017532057,0.0216,0.073,-8.1818
110,100,0.1,50,2.2,119,0.5,250,0.04231172996457192,0.0111,0.0486,-8.1818
110,100,0.1,50,2.2,119,0.6,250,0.029382122881716898,0.0064,0.0352,-8.1818
110,100,0.1,50,2.6,119,0.2,250,0.19308296271859818,0.0991,0.203,-8.1818
110,100,0.1,50,2.6,119,0.3,250,0.09345136640632945,0.0362,0.101,-8.1818
110,100,0.1,50,2.6,119,0.4,250,0.05315163981887428,0.0162,0.0601,-8.1818
110,100,0.1,50,2.6,119,0.5,250,0.03457767365116185,0.0083,0.0405,-8.1818
